Field,Type,English
ProductName,Text,FanFolder
Description,Text,"FanFolder is a lightweight Windows taskbar utility that gives you one-click access to the files you are working with. Click the FanFolder icon on the taskbar and your recent files appear in an animated fan menu. For a normal folder, FanFolder prioritizes the most recently modified items; the default Recent Documents source uses Windows recent-document history.

Choose any local folder, including folders synchronized with OneDrive, Dropbox, or Google Drive. Open an item with one click, drag it to another application, or right-click it to use the standard Windows Shell context menu.

Choose from five animation styles: Fan, Glide, Spring, Fade, or None. Configure the folder, sort order, number of items, filename filter, folder visibility, and file-extension display.

FanFolder uses native Win32/C++ technology, Windows Shell integration, and per-user settings. It has no runtime dependencies, no account requirement, and no network connection is required for normal operation. Installation is per-user and does not require administrator rights.

FanFolder is free for personal and commercial use. It supports Windows 10 version 1809 or later and Windows 11 on x64 and ARM64."
WhatsNew,Text,
ProductFeatures1,Text,Open recent files from the Windows taskbar in one click
ProductFeatures2,Text,Choose any local folder including synced cloud folders
ProductFeatures3,Text,Use Fan Glide Spring Fade or None animation styles
ProductFeatures4,Text,Open files drag them to apps or use the Windows Shell menu
ProductFeatures5,Text,Sort by modified date creation date or name
ProductFeatures6,Text,Filter filenames with an optional regular expression
ProductFeatures7,Text,Choose item count folders and file-extension visibility
ProductFeatures8,Text,Use native Windows icons and file thumbnails
ProductFeatures9,Text,Install per user without administrator rights
ProductFeatures10,Text,Supports Windows 10 and Windows 11 on x64 and ARM64
ProductFeatures11,Text,
ProductFeatures12,Text,
ProductFeatures13,Text,
ProductFeatures14,Text,
ProductFeatures15,Text,
ProductFeatures16,Text,
ProductFeatures17,Text,
ProductFeatures18,Text,
ProductFeatures19,Text,
ProductFeatures20,Text,
ShortDescription,Text,"One-click access to recent files from an animated Windows taskbar fan. Choose any folder, open or drag items, and install free with winget or the per-user installer."
SearchTerms1,Text,FanFolder
SearchTerms2,Text,Windows taskbar
SearchTerms3,Text,recent files
SearchTerms4,Text,file launcher
SearchTerms5,Text,folder launcher
SearchTerms6,Text,productivity tool
SearchTerms7,Text,winget
Applicable license terms,Text,Proprietary license. Free for personal and commercial use forever. All rights reserved. See the FanFolder Software License Agreement included with the app.
Copyright,Text,Copyright © 2026 Ole Bulow Hartvigsen. All rights reserved.
DevelopedBy,Text,Ole Bulow Hartvigsen
RequirementsMinimum1,Text,Windows 10 version 1809 or later
RequirementsMinimum2,Text,Windows 11
RequirementsMinimum3,Text,x64 or ARM64 processor
RequirementsMinimum4,Text,Approximately 1 MB of disk space
RequirementsMinimum5,Text,
RequirementsMinimum6,Text,
RequirementsMinimum7,Text,
RequirementsMinimum8,Text,
RequirementsMinimum9,Text,
RequirementsMinimum10,Text,
RequirementsMinimum11,Text,
RequirementsRecommended1,Text,At least one local folder containing files
RequirementsRecommended2,Text,Windows taskbar visible for normal use
RequirementsRecommended3,Text,
RequirementsRecommended4,Text,
RequirementsRecommended5,Text,
RequirementsRecommended6,Text,
RequirementsRecommended7,Text,
RequirementsRecommended8,Text,
RequirementsRecommended9,Text,
RequirementsRecommended10,Text,
RequirementsRecommended11,Text,
StoreLogos1,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,store-logo-1x1.png
StoreLogos2,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots1,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,screenshot-1.png
Screenshots2,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots3,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots4,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots5,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots6,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots7,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots8,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots9,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
Screenshots10,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,
HeroArts,Text,
Trailers,Text,
